,x,y,class
苏177,4237075.6,18719168.84,0.0
苏109,4215025.4,18725565.9,1.0
苏190,4245143.27,18727114.35,0.0
苏120,4245542.8,18717452.1,1.0
苏176,4250104.86,18723118.58,1.0
苏175,4255530.03,18717555.19,1.0
苏38,4240717.91,18710152.8,1.0
苏120-38-78,4245381.4,18714812.5,
苏120-42-84,4242441.36,18718710.06,
苏120-41-76,4243012.73,18713652.47,
苏120-35-81,4248038.6,18716776.9,
苏120-32-82,4250258.2,18717045.5,
苏120-35-77,4247870.4,18714229.4,
苏120-35-82,4248075.4,18717379.8,
苏120-42-80,4245280.55,19191200.53,
苏120-49-79,4239778.77,19190752.83,
苏120-35-81C1,4248853.3,18717021.0,
苏120-46-85,4242019.62,19194154.66,0.0
苏120-32-83,4250301.2,18717645.7,
苏120-41-94,4246163.0,19199596.0,
苏120-35-81C4,4248814.7,18716427.7,
苏120-35-91,4248420.3,18722678.5,
苏120-35-84,4248154.0,18718586.8,
苏120-52-83,4237881.0,19193418.0,
苏120-52-95,4237389.5,19200350.45,
苏120-32-82C3,4249536.8,18716791.5,
苏120-41-95,4246169.25,19200222.75,
苏120-49-80,4239775.33,19190741.34,
苏120-73-86,4217567.34,18721646.74,
苏120-41-96,4246177.58,19200228.27,
苏120-38-81,4245490.0,18716798.1,
苏120-46-76,4242032.76,19189118.95,
苏120-46-94,4241992.74,19199374.57,
苏120-35-94,4248539.3,18724191.2,
苏120-35-90,4248373.0,18721952.2,
苏120-32-86,4250411.1,18719333.5,
苏120-35-80,4247997.5,18716183.0,
苏120-38-91,4245923.4,18723014.6,
苏120-60-91,4230687.53,19198091.46,
苏120-35-83,4248087.3,18718036.5,
苏120-38-85,4245859.9,18719167.5,
苏120-63-94,4227889.38,19199484.25,
苏120-49-74,4239857.47,19187352.2,
苏120-41-88,4246158.89,19195915.6,
苏120-73-70,4220487.28,19185259.29,
苏120-65-93,4226523.0,19198987.0,
苏120-35-84C1,4248943.8,18718884.6,
苏120-65-86,4227367.25,19195093.98,
苏120-63-81,4228429.7,19192225.06,
苏120-67-96,4225249.99,19200715.87,
苏120-46-83,4242029.95,19193206.77,
苏120-63-78,4228436.0,19188667.52,
苏120-66-90,4225949.34,19197308.08,
