日期,井号,层位,气田,采气厂,中东西,区块,自营/合作,集气站,井型,分类,投产日期,投产年份,生产时间,油压,套压,日产气量,月产气量,年产气量,历年产气量,备注
2021/12/31 0:00,桃2-28-21H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-5集气站,水平井,,2021/7/30,2021,19.25,19.53,19.78,1.5829,5.3152,177.2986,177.2986,非计划关井（冻堵关井）：2021-12-29 20:05-2021-12-30 12:45因冻堵关井（高压管线冻堵），关
2021/12/31 0:00,桃2-17-32H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,,2021/6/29,2021,24,3.06,19.65,4.1087,26.5022,91.4915,91.4915,
2021/12/31 0:00,桃2-7-34H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,,2021/6/29,2021,24,3.92,23.51,3.967,12.9612,63.9287,63.9287,
2021/12/31 0:00,桃2-7-35H1,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,,2021/10/2,2021,24,3.88,22.39,3.1736,57.9654,87.0183,87.0183,
2021/12/31 0:00,桃2-12-3CH,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,,2021/10/28,2021,0,1,1.22,0,24.8962,95.7942,95.7942,计划关井（动态监测）：2021-12-06 08:00因动态监测(因试气不点火结束压力恢复关井)，关井前油套压18/0.
2021/12/31 0:00,桃2-7-31H1,盒8,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2020/9/23,2021,24,3.87,23.12,3.967,79.1442,645.244,676.7542,
2021/12/31 0:00,桃2-13-27H2,盒8下,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2020/9/26,2021,24,19.12,19.57,4.2556,91.6651,490.7696,540.5238,
2021/12/31 0:00,桃2-20-21XH1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/10/25,2021,0,1.42,18.62,0,0,525.4091,604.8858,计划关井（生产组织影响）：2021-11-23 16:47因生产组织影响(因施工作业关井)，关井前油套压5.53/18.
2021/12/31 0:00,桃2-17-32H2,,苏里格气田,采气三厂,中区,桃2区,自营,桃2-3集气站,水平井,,2021/6/29,2021,24,2.64,21.38,5.1981,162.5427,329.6023,329.6023,
2021/12/31 0:00,桃2-7-32H1,山西组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅱ类井,2020/10/28,2021,24,3.89,23.66,0.5998,3.2454,711.0571,794.1002,
2021/12/31 0:00,桃2-20-22XH1,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/10/25,2021,0,1.53,18.38,0,0,414.7294,504.5584,计划关井（生产组织影响）：2021-11-23 16:55因生产组织影响(因施工作业关井)，关井前油套压5.56/18.
2021/12/31 0:00,桃2-10-32H2,石盒子组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-2集气站,水平井,Ⅲ类井,2020/5/24,2021,24,5.57,15.33,5.7913,117.0735,847.2664,1027.7629,
2021/12/31 0:00,桃2-8-12H2,盒8、山1,苏里格气田,采气三厂,中区,桃2区,自营,桃2-1集气站,水平井,Ⅲ类井,2012/11/14,2021,24,2.88,5.54,0.6194,17.4992,145.5405,3044.5324,
2021/12/31 0:00,桃2-23-8XH1,山西组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅱ类井,2020/10/25,2021,24,2.17,15.86,3.618,116.7259,962.3,1152.1512,
2021/12/31 0:00,桃2-32-7H4,山西组,苏里格气田,采气三厂,中区,桃2区,自营,桃2-4集气站,水平井,Ⅱ类井,2020/12/26,2021,24,4.16,20.38,2.1998,95.2334,369.6237,384.4622,
